name,category,budget_min_INR,budget_max_INR,address,latitude,longitude,pool,wifi,breakfast_included,parking,ac,pet_friendly,gym,spa,restaurant,front_desk_24h,family_friendly,bar,laundry_service,room_service,accessible_rooms,non_smoking_rooms
The Golden House,Budget Heritage,1200,2000,"Fort Kotari Para, Jaisalmer",26.914,70.915,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hotel Tokyo Palace,Budget,800,1500,"City centre, Jaisalmer",26.915,70.915,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hotel Victoria,Budget,1200,2200,"Centre of Jaisalmer city",26.915,70.915,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Shanti Home,Budget,600,1300,"Near Fort market",26.915,70.915,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hotel Oasis Jaisalmer,Budget,800,1500,"Sadar Bazar area",26.914,70.915,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Garh Meera,Heritage Boutique,1500,3000,"Near Fort walls, Jaisalmer",26.915,70.914,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
1st Gate Home-Fusion Hotel,Heritage Boutique,7000,9000,"Foot of Fort, Amar Sagar Pol",26.915,70.914,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Hotel Killa Bhawan,Heritage,4200,5500,"Inside Jaisalmer Fort",26.915,70.914,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hotel Pleasant Haveli,Heritage,4000,5000,"Chain Pura St near Fort",26.915,70.915,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hotel Himmat Niwas,Heritage,2500,3500,"Inside Fort walls",26.915,70.914,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Desert Tulip Hotel & Resort,4 Star Resort,5500,7500,"Jodhpur Road, near NH‑15",26.910,70.920,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
The Gulaal,4 Star Boutique Resort,6000,9000,"Bera Road outskirts",26.905,70.920,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Prince Desert Camp,Mid‑range Desert Camp,5000,7000,"Sam Sand Dunes area",26.900,70.950,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Suryagarh,Ultra-Luxury Resort,25000,35000,"Near India‑Pakistan border area",26.892,70.945,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Jaisalmer Marriott Resort & Spa,Luxury Resort,15000,25000,"Sam‑Dhanana Rd outskirts",26.900,70.940,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Rajputana Desert Camp,Desert Camp Budget‑Mid,3000,5500,"Sam Sand Dunes area, village Sam",26.906,70.925,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Winds Desert Camp,Desert Camp Mid‑Luxury,3750,15000,"Sam Sand Dunes approx 30 km",26.905,70.924,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Damodra Desert Camp,Desert Camp Luxury,7000,15000,"Damodra village, near Sam dunes",26.908,70.931,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Sujan The Serai,Desert Camp Ultra‑Luxury,25000,30000,"Bhairwa, ~45 km from Jaisalmer",26.860,70.930,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Jain Empire Resort,Desert Camp Mid‑range,1800,2500,"Sam Sand Dunes region",26.907,70.926,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Imperial Resort Camp,Desert Camp Mid‑range,3200,3500,"Kanoi area before Sam dunes",26.910,70.920,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Welcome Desert Camp (with pool),Desert Camp Budget‑Mid,2200,3500,"Lakhmana dunes near Sam",26.910,70.923,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Tao Lakhmana Camp,Desert Camp Mid‑range,4500,7000,"Sam Sand Dunes",26.906,70.928,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Rojani Resort & Camp,Desert Camp Mid‑range,2500,3500,"Sam dunes outskirts",26.907,70.930,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Le Royal Camp,Desert Camp Mid‑Luxury,4000,8000,"Kanoi near Sam dunes",26.909,70.922,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Limra Desert Camp,Desert Camp Budget,1200,2200,"Sam dunes parking area",26.906,70.924,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Sunrise Desert Camp,Desert Camp Budget‑Mid,3500,4200,"Sam Sand Dunes desert",26.905,70.923,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Pal Rajah Resort,Desert Camp Mid‑range,5500,6000,"Sam Sand Dunes area",26.907,70.925,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
The Mama’s Desert Camp,Desert Camp Mid‑range,5000,7000,"Khuri dunes ~40 km west",26.860,70.960,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Prince Desert Camp,Desert Camp Luxury,7000,12000,"Sam dunes vicinity",26.906,70.929,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Magic Heritage Camp & Resort,Heritage Camp/Budget,1200,3000,"Near Fort parking / Ring Road",26.914,70.915,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hostel Little Prince Home Stay,Hostel Budget,800,1500,"Near Gadisar Lake, Jaisalmer",26.915,70.900,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Happy Trails Jaisalmer,Hostel Budget,900,1800,"Gadisar Lake area",26.915,70.900,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Nomadic Backpackers Hostel,Hostel Budget,1000,2000,"Near Gadisar Lake",26.915,70.900,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hotel Shreenath Palace,Budget Heritage,1200,2000,"Old city near Fort",26.915,70.914,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hotel Sonar Haveli,Budget/Heritage,1000,2000,"Near Fort area, Jaisalmer",26.915,70.914,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hotel Desert Moon Guest House,Budget,700,1400,"Old City near Fort",26.915,70.914,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hotel Marwar Inn,Budget,1000,1800,"Near Fort area, Jaisalmer",26.915,70.914,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hotel Priya,Budget,900,1700,"Old City, Jaisalmer",26.915,70.914,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Gorbandh Palace,Budget/Heritage,1000,2200,"Near Fort area",26.915,70.914,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hotel Akash Deep,Budget,850,1500,"Hanuman Circle, Jaisalmer",26.916,70.915,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Vansh Villa Hotel,Budget,1500,2500,"Hanuman Circle area",26.916,70.915,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hotel Jeet Mahal,Budget,400,1000,"Gopa Chowk, Jaisalmer",26.916,70.915,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Raj International Hotel,Budget,1000,1500,"Suthar Para, Jaisalmer",26.915,70.914,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Siddhartha Hotel,Budget,1000,1500,"Khejer Para, Jaisalmer",26.915,70.914,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Mystic Jaisalmer Hotel,Budget,700,2100,"Near Airforce Circle/Jaisalmer central",26.916,70.915,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hotel Paradise,Budget/Mid-range,2050,3000,"Old city, Jaisalmer",26.915,70.914,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hotel Ajanta Haveli,Budget/Mid,2250,3500,"Fort area, Jaisalmer",26.915,70.914,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hotel Registhan Guest House,Budget,1600,2500,"Inside Fort area",26.915,70.914,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hotel Fifu,Budget,1200,2000,"Quiet street south of Fort, Jaisalmer",26.914,70.915,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hotel Garh Jaisal Haveli,Heritage,3000,5000,"Fort Kotari Para, Jaisalmer",26.915,70.914,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Sonaar Haveli,Boutique Heritage,4000,6000,"Ramgarh Rd, Kishan Ghat, Jaisalmer",26.915,70.914,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
K D Palace - Heritage Hotel On Fort,Heritage Luxury,6000,10000,"Dhibba Para, inside Fort",26.915,70.914,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Hotel Shahi Garh,Heritage,3000,4500,"Dhibba Para, Jaisalmer Fort area",26.915,70.914,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Little Jaisal Haveli,Heritage Boutique,1500,3000,"Dhibba Para, near Fort",26.915,70.914,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
