name,category,budget_min_INR,budget_max_INR,address,latitude,longitude,pool,wifi,breakfast_included,parking,ac,pet_friendly,gym,spa,restaurant,front_desk_24h,family_friendly,bar,laundry_service,room_service,accessible_rooms,non_smoking_rooms
Hotel LMB (Lakshmi Misthan Bhandar),Heritage / Mid‑range,3000,4500,"Johari Bazaar, Old City, Jaipur",26.9160,75.8180,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Rambagh Palace,Ultra-Luxury Heritage,25000,40000,"Bhawani Singh Road, Jaipur",26.9180,75.8000,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
The Oberoi Rajvilas,Luxury Resort,22000,35000,"Goner Road near Jaipur airport area",26.8120,75.7460,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fairmont Jaipur,Luxury Resort,15000,25000,"Kukas, RIICO, Jaipur",26.9240,75.6670,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
The Lalit Jaipur,Luxury,12000,22000,"Jagatpura Road, near Jawahar Circle",26.9185,75.7960,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hilton Jaipur,5 Star,10000,18000,"Hawa Sadak, Jaipur",26.9100,75.8300,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Trident Jaipur,Luxury,12000,20000,"Amber Fort Road, opposite Jal Mahal",26.9160,75.8130,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Madpackers Jaipur,Hostel,500,2000,"Hawa Mahal Rd, Pink City, Jaipur",26.9150,75.8200,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes
Pink City Backpackers,Hostel,700,2000,"Kishanpole Bazar Rd, Old City, Jaipur",26.9160,75.8180,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes
Hoztel Jaipur,Hostel,600,2000,"Bani Park / Sindhi Camp, Jaipur",26.9158,75.8190,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes
Horn OK Please Hostel,Hostel,1000,2500,"Gopinath Marg off Mirza Ismail Rd, Jaipur",26.9160,75.8130,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes
CrashPad Hostotel,Hostel,600,1500,"Civil Lines (Shyam Nagar), Jaipur",26.9235,75.8065,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes
Le Pension Shyam Nagar,Hostel,350,900,"Shyam Nagar, Civil Lines, Jaipur",26.9230,75.8065,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes
Bunkstop C‑Scheme,Hostel,650,1600,"C Scheme, Jaipur",26.9220,75.8040,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes
Pink Turban Hostel,Hostel,500,1200,"Moti Doongri Circle, Jaipur",26.9155,75.8200,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes
Aq Hostel,Hostel,500,1300,"Surajpole Gate area, Jaipur",26.9150,75.8100,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes
Jantar Hostel,Hostel,500,1500,"MI Road near Jantar Mantar, Jaipur",26.9155,75.8100,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes
The Fern Residency Jaipur,Mid-range,3000,6000,"Hawa Mahal area, Jaipur",26.9145,75.8160,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Shahpura House,Mid-range,3000,6000,"Near Raj Mandir Cinema, Jaipur",26.9180,75.8020,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Rajasthali Resort & Spa,Mid-range,3000,6000,"Near Anand Garden, Jaipur",26.9200,75.8100,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
KK Royal Hotel & Convention Centre,Mid-range,3000,6000,"Amber Fort Road, Amer, Jaipur",26.9850,75.8460,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Umaid Bhawan Heritage Hotel,Mid-range,3000,6000,"Civil Lines / City Palace area, Jaipur",26.9235,75.8060,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Samode Haveli,Heritage Boutique,6000,9000,"Old Town (Samode Rd), Jaipur",26.9175,75.8200,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
28 Kothi,Heritage Boutique,6000,10000,"Civil Lines, Jaipur",26.9235,75.8065,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Naila Bagh Palace,Heritage Boutique,7000,12000,"Walled City area, Jaipur",26.9150,75.8180,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Bissau Palace Hotel,Heritage,5000,8000,"North of Chandpole, Jaipur Old City",26.9180,75.8190,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Hotel Narain Niwas Palace,Heritage,5000,8000,"Bani Park (Narain Singh Rd), Jaipur",26.9160,75.8190,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
